[  124.185225] LOADING MODULE
[  124.185226] PID: 1, UID: 0, PROCESS: init 
[  124.185301] PID: 1447, UID: 1000, PROCESS: indicator-power 
[  124.185301] PID: 1455, UID: 1000, PROCESS: indicator-datet 
[  124.185302] PID: 1457, UID: 1000, PROCESS: indicator-sound 
[  124.185302] PID: 1463, UID: 1000, PROCESS: indicator-print 
[  124.185303] PID: 1470, UID: 1000, PROCESS: indicator-sessi 
[  124.185304] PID: 1486, UID: 1000, PROCESS: indicator-appli 
[  124.185304] PID: 1514, UID: 1000, PROCESS: evolution-sourc 
[  124.185305] PID: 1518, UID: 1000, PROCESS: pulseaudio 
[  124.185305] PID: 1539, UID: 107, PROCESS: rtkit-daemon 
[  124.185306] PID: 1578, UID: 1000, PROCESS: ibus-engine-che 
[  124.185306] PID: 1660, UID: 1000, PROCESS: ibus-engine-sim 
[  124.185307] PID: 1664, UID: 113, PROCESS: colord 
[  124.185307] PID: 1682, UID: 0, PROCESS: systemd-localed 
[  124.185308] PID: 1687, UID: 1000, PROCESS: dconf-service 
[  124.185309] PID: 1689, UID: 1000, PROCESS: notify-osd 
[  124.185309] PID: 1713, UID: 1000, PROCESS: evolution-calen 
[  124.185310] PID: 1719, UID: 1000, PROCESS: compiz 
[  124.185310] PID: 1737, UID: 1000, PROCESS: unity-fallback- 
[  124.185311] PID: 1740, UID: 1000, PROCESS: polkit-gnome-au 
[  124.185311] PID: 1745, UID: 1000, PROCESS: nm-applet 
[  124.185312] PID: 1746, UID: 1000, PROCESS: nautilus 
[  124.185312] PID: 1766, UID: 1000, PROCESS: gvfs-udisks2-vo 
[  124.185313] PID: 1772, UID: 0, PROCESS: udisksd 
[  124.185314] PID: 1783, UID: 1000, PROCESS: gconfd-2 
[  124.185314] PID: 1788, UID: 1000, PROCESS: gvfs-mtp-volume 
[  124.185315] PID: 1792, UID: 1000, PROCESS: gvfs-afc-volume 
[  124.185315] PID: 1797, UID: 1000, PROCESS: gvfs-gphoto2-vo 
[  124.185316] PID: 1803, UID: 1000, PROCESS: gvfsd-trash 
[  124.185316] PID: 1810, UID: 0, PROCESS: dhclient 
[  124.185317] PID: 1816, UID: 1000, PROCESS: gvfsd-burn 
[  124.185318] PID: 1820, UID: 65534, PROCESS: dnsmasq 
[  124.185318] PID: 1984, UID: 1000, PROCESS: gnome-terminal 
[  124.185319] PID: 1991, UID: 1000, PROCESS: gnome-pty-helpe 
[  124.185319] PID: 1992, UID: 1000, PROCESS: bash 
[  124.185320] PID: 2006, UID: 1000, PROCESS: telepathy-indic 
[  124.185321] PID: 2013, UID: 1000, PROCESS: mission-control 
[  124.185321] PID: 2027, UID: 1000, PROCESS: zeitgeist-datah 
[  124.185322] PID: 2032, UID: 1000, PROCESS: zeitgeist-daemo 
[  124.185322] PID: 2038, UID: 1000, PROCESS: zeitgeist-fts 
[  124.185323] PID: 2053, UID: 1000, PROCESS: cat 
[  124.185323] PID: 2055, UID: 1000, PROCESS: su 
[  124.185324] PID: 2056, UID: 0, PROCESS: bash 
[  124.185324] PID: 2097, UID: 1000, PROCESS: update-notifier 
[  124.185325] PID: 2120, UID: 0, PROCESS: insmod 
